id,resource,attach (0 : ¸Ó¸® / 1 : µî / 2 : °ñ¹Ý / 3 : ¾ó±¼),set id,attach_pos,setcount,skin
471,cat_head,0,474,0,3,0
472,cat_back,1,474,1,3,0
473,cat_pelvis,2,474,2,3,0
474,cat_face,3,0,3,0,0
475,angel_head,0,0,0,0,0
476,angel_back,1,0,1,0,0
477,devil_head,0,0,0,0,0
478,devil_back,1,0,1,0,0
479,devil_pelvis,2,0,2,0,0
489,pumpkin_head,0,0,4,0,0
490,pumpkin_back,1,0,1,0,0
494,clock_back,1,0,1,0,0
505,snow_head,0,0,4,0,0
506,snow_back,1,0,1,0,0
508,x,0,0,0,0,0
512,alice2_head,0,0,0,0,0
515,gold_head,0,0,5,0,0
516,gold_back,1,0,1,0,0
526,pig_head,0,529,0,3,0
527,pig_back,1,529,1,3,0
528,pig_pelvis,2,529,2,3,0
529,pig_face,3,0,3,0,0
541,panda_head,0,544,0,3,0
542,panda_back,1,544,1,3,0
543,panda_pelvis,2,544,2,3,0
544,panda_face,3,0,3,0,0
550,dao_head,0,0,4,0,0
551,bazzi_head,0,0,4,0,0
557,squirrel_head,0,560,0,3,0
558,squirrel_back,1,560,1,3,0
559,squirrel_pelvis,2,560,2,3,0
560,squirrel_face,3,0,3,0,0
574,polarbear_head,0,576,6,0,0
575,polarbear_back,1,576,1,0,0
584,coschnflagback_back,1,0,1,0,0
597,cosmaneuvers_pelvis,2,0,2,0,0
600,blackwing_back,1,0,1,0,0
612,oberon_head,0,0,0,0,0
613,oberonbomb_head,0,0,0,0,0
614,angra_back,1,0,1,0,0
616,titan_back,1,0,1,0,0
617,kraken_back,1,0,1,0,0
618,frozenwrath_back,1,0,1,0,0
651,arm_armband,4,0,7,0,0
652,arm_armband,4,0,7,0,1
653,arm_armband,4,0,7,0,2
654,arm_armband,4,0,7,0,3
655,arm_armband,4,0,7,0,4
656,arm_armband,4,0,7,0,5
657,arm_armband,4,0,7,0,6
658,arm_armband,4,0,7,0,7
659,arm_armband,4,0,7,0,8
660,arm_armband,4,0,7,0,9
661,arm_armband,4,0,7,0,10
662,arm_armband,4,0,7,0,11
663,arm_armband,4,0,7,0,12
664,arm_armband,4,0,7,0,13
665,arm_armband,4,0,7,0,14
666,arm_armband,4,0,7,0,15
667,arm_armband,4,0,7,0,16
699,indian_head,0,700,0,3,0
701,indian_back,1,700,1,3,0
702,indian_pelvis,2,700,2,3,0
700,indian_face,3,0,3,0,0
704,afro_head,0,0,0,0,0
705,curlhair_head,0,0,0,0,0
707,dino_head,0,0,0,0,0
708,dino_back,1,0,1,0,0
712,grasshopper_back,1,0,1,0,0
730,provoke_head,0,0,0,3,0
731,provoke_back,1,0,1,3,0
732,provoke_pelvis,2,0,2,3,0
736,gentle_head,0,0,8,0,0
738,gentle_back,1,0,1,0,0
739,gentle_pelvis,2,0,9,0,0
765,jackmask_face,0,0,10,0,0
772,idol_back,1,0,1,0,0
773,idol_face,0,0,11,0,0
779,non_head,0,0,12,0,0
785,boxing_head_m,0,0,4,0,0
786,boxing_pelvis_m,2,0,2,0,0
790,cronobotics53_face,0,0,11,0,0
797,superhero_back,1,0,1,0,0
798,superhero_head,0,0,4,0,0
819,Egypt_face,0,0,0,0,0
820,Egypt_back,1,0,1,0,0
829,bud_head,0,0,0,0,0
830,gamania_back,1,0,1,0,0
850,cronobotics54_back,1,0,1,0,0
900,mr_x_zb_back,1,0,1,0,0
948,buffclassA_head_m,0,0,12,0,0
949,buffclassB_head_m,0,0,12,0,0
963,cosbrachyuraback,1,0,1,3,0
8089,buffclasslycan_pelvis,2,0,2,0,0
8090,buffclasshunter_head,0,0,12,0,0
8096,10thbirth_head,0,0,12,0,0
8168,buffclassphoenixwing,1,0,1,0,0
8186,19s1bunnyhead,0,0,0,0,0
8187,19s1bunnytail,2,0,2,0,0
8188,19s1butterflyhead,0,0,0,0,0
8189,19s1butterflyback,1,0,1,0,0
8190,19s1chikenhead,0,0,0,0,0
8191,19s1armybagback,1,0,1,0,0
8197,buffclass19s1tr_head,0,0,3,0,0
8198,buffclass19s1ct_back,1,0,1,0,0
8213,y19s2coslantern,2,0,2,0,0
8214,y19s2coshata,0,0,0,0,0
8215,y19s2coshatb,0,0,0,0,0
8216,y19s2cosaxe,1,0,1,0,0
8217,y19s2cosbag,2,0,2,0,0
8218,y19s2coslasso,2,0,2,0,0
8225,buffclass19s2ct_back,1,0,1,0,0
8226,buffclass19s2tr_back,1,0,1,0,0
8241,y19s3cosmask,0,0,13,0,0
8242,y19s3cosshark,0,0,3,0,0
8243,y19s3cosduck,1,0,1,0,0
8244,y19s3coshat,0,0,0,0,0
8245,y19s3cosflower,0,0,0,0,0
8246,y19s3cosoctopus,0,0,0,0,0
8255,cartcosback,1,0,1,0,0
8256,cartcosgoggles,0,0,11,0,0
8257,cartcoshead,0,0,0,0,0
8253,buffclass19s3tr_back,1,0,1,0,0
8254,buffclass19s3ct_back,1,0,1,0,0
8274,y19s4cosveil,0,0,0,0,0
8275,y19s4coshat,0,0,0,0,0
8276,y19s4coswolfm,0,0,0,0,0
8277,y19s4cosghost,1,0,1,0,0
8278,y19s4coscat,2,0,2,0,0
8279,y19s4cospumpkin,2,0,2,0,0
8289,buffclass19s4tr_face,0,0,14,0,0
8290,buffclass19s4ct_back,1,0,1,0,0
8342,y20s1flower_head,0,0,0,0,0
8343,y20s1hopai_pelvis,2,0,2,0,0
8344,y20s1blackgat_head,0,0,0,0,0
8345,y20s1yangbangat_head,0,0,0,0,0
8346,y20s1gaksital_face,0,0,11,0,0
8347,y20s1kinggat_head,0,0,0,0,0
8348,y20s1armygat_head,0,0,4,0,0
8349,y20s1strawhat_head,0,0,0,0,0
8354,buffclass20s2tr_head,0,0,0,0,0
8355,buffclass20s2ct_head,0,0,0,0,0
8364,y20s2hopper_head,0,0,0,0,0
8365,y20s2dog_head,0,0,0,0,0
8366,y20s2axe_back,1,0,1,0,0
8367,y20s2lion_back,1,0,1,0,0
8368,y20s2bag_back,1,0,1,0,0
8369,y20s2lunch_pelvis,2,0,2,0,0
8399,y20s3helmet1_head,0,0,0,0,0
8400,y20s3helmet2_head,0,0,0,0,0
8401,y20s3sfboard_back,1,0,1,0,0
8402,y20s3sfwing_back,1,0,1,0,0
8403,y20s3cubepet_back,1,0,1,0,0
8404,y20s3robot_back,1,0,1,0,0
8420,buffclass20s3tr_face,0,0,11,0,0
8421,buffclass20s3ct_head,0,0,15,0,0
8441,buffclass20s4tr_back,1,0,1,0,0
8442,buffclass20s4ct_face,0,0,11,0,0
8463,y21s1sword_back,1,0,1,0,0
8464,y21s1bearbag_back,1,0,1,0,0
8465,y21s1dragonbag_back,1,0,1,0,0
8466,y21s1snowman_back,1,0,1,0,0
8467,y21s1snowhelmet_head,0,0,0,0,0
8468,y21s1snowflower_back,1,0,1,0,0
8490,buffclass21s1tr_back,1,0,1,0,0
8491,buffclass21s1ct_back,1,0,1,0,0
8492,coscsobackpack,1,0,1,0,0
8508,y21s2headcosa,0,0,0,0,0
8509,y21s2headcosb,0,0,11,0,0
8510,y21s2backcosa,1,0,1,0,0
8511,y21s2backcosb,1,0,1,0,0
8512,y21s2petcosa,1,0,1,0,0
8513,y21s2petcosb,1,0,1,0,0
8528,buffclass21s2tr_back,1,0,1,0,0
8529,buffclass21s2ct_head,0,0,11,0,0
8549,y21s3headcosa,0,0,0,0,0
8550,y21s3headcosb,0,0,11,0,0
8551,y21s3backcosa,1,0,1,0,0
8552,y21s3backcosb,1,0,1,0,0
8553,y21s3petcosa,1,0,1,0,0
8554,y21s3petcosb,1,0,1,0,0
8556,coscsohipsack,2,0,2,0,0
8561,buffclass21s3tr_back,1,0,1,0,0
8562,buffclass21s3ct_back,1,0,1,0,0
8574,buffclass21s4tr_back,1,0,1,0,0
8575,buffclass21s4ct_pelvis,2,0,2,0,0
8592,y21s4headcosa,0,0,0,0,0
8593,y21s4backcosa,1,0,1,0,0
8594,y21s4backcosb,1,0,1,0,0
8595,y21s4pelviscosa,2,0,2,0,0
8596,y21s4pelviscosb,2,0,2,0,0
8597,y21s4petcosa,1,0,1,0,0
