id,name,filename,Å×¸¶ ÄÚ¸àÆ®
0,CSO_Voxel_Wav01,ambience/3dmbridge.wav,
1,CSO_Voxel_Wav02,ambience/wind_camo.wav,
2,CSO_Voxel_Wav03,ambience/wind_crow.wav,
3,CSO_Voxel_Wav04,ambience/sand_1.wav,
4,CSO_Voxel_Wav05,ambience/rain.wav,
5,CSO_Voxel_Wav06,ambience/rain_2.wav,
6,CSO_Voxel_Wav07,ambience/rain_5.wav,
7,CSO_Voxel_Wav08,ambience/thunder_clap.wav,
8,CSO_Voxel_Wav09,ambience/thunder_clap2.wav,
9,CSO_Voxel_Wav10,ambience/thunder_clap3.wav,
10,CSO_Voxel_Wav11,ambience/bazooka_car_explode.wav,
11,CSO_Voxel_Wav12,ambience/bazooka_scud_explode.wav,
12,CSO_Voxel_Wav13,ambience/bazooka_stone_explode.wav,
13,CSO_Voxel_Wav14,ambience/bazooka_tank_explode.wav,
14,CSO_Voxel_Wav15,ambience/chopper_spawn1.wav,
15,CSO_Voxel_Wav16,ambience/chopper_spawn2.wav,
16,CSO_Voxel_Wav17,ambience/copter.wav,
17,CSO_Voxel_Wav18,ambience/traffic.wav,
18,CSO_Voxel_Wav19,ambience/Facility_01.wav,
19,CSO_Voxel_Wav20,ambience/Facility_02.wav,
20,CSO_Voxel_Wav21,ambience/Jungle_01.wav,
21,CSO_Voxel_Wav22,ambience/forest_amb2.wav,
22,CSO_Voxel_Wav23,ambience/kajika.wav,
23,CSO_Voxel_Wav24,ambience/waterfall2.wav,
24,CSO_Voxel_Wav25,ambience/waterrun.wav,
25,CSO_Voxel_Wav26,ambience/birds3.wav,
26,CSO_Voxel_Wav27,ambience/birds4.wav,
27,CSO_Voxel_Wav28,ambience/birds5.wav,
28,CSO_Voxel_Wav29,ambience/birds6.wav,
29,CSO_Voxel_Wav30,ambience/birds7.wav,
30,CSO_Voxel_Wav31,ambience/crow.wav,
31,CSO_Voxel_Wav32,ambience/bats.wav,
32,CSO_Voxel_Wav33,ambience/cat1.wav,
33,CSO_Voxel_Wav34,ambience/dog1.wav,
34,CSO_Voxel_Wav35,ambience/dog2.wav,
35,CSO_Voxel_Wav36,ambience/dog3.wav,
